address,Latitude,Longitude
경상북도 구미시 산동읍 동백로 360,36.190086,128.4566492
경상북도 구미시 산동읍 봉산리 1052-3번지,36.142772,128.4430984
경상북도 구미시 산동읍 봉산리 435-1번지,36.1427779,128.4514312
경상북도 구미시 산동읍 봉산리 436-1번지,36.1430247,128.4519304
경상북도 구미시 산동읍 봉산리 436-2번지,36.1435163,128.4518344
경상북도 구미시 산동읍 봉산리 918-11번지,36.1408466,128.4407375
경상북도 구미시 산동읍 봉산리 산 26-6번지,36.1441977,128.4511115
경상북도 구미시 산동읍 부처방길 103,36.1316558,128.474452
경상북도 구미시 산동읍 성림길 26 ((주)대평산업개발),36.1597788,128.4194065
경상북도 구미시 산동읍 성림길 35-11 (,36.1618275,128.4199362
경상북도 구미시 산동읍 성림길 35-2,36.160831,128.4203543
경상북도 구미시 산동읍 성수1길 23,36.1578303,128.4087594
경상북도 구미시 산동읍 성수2길 43-3,36.1610697,128.4107749
경상북도 구미시 산동읍 성수3길 32,36.1594174,128.4137316
경상북도 구미시 산동읍 성수4길 11,36.1577001,128.4186916
경상북도 구미시 산동읍 성수4길 18,36.1590653,128.4164938
경상북도 구미시 산동읍 성수4길 21,36.1585295,128.4174057
경상북도 구미시 산동읍 성수4길 28,36.1576654,128.41735
경상북도 구미시 산동읍 성수4길 44,36.157309,128.4189896
경상북도 구미시 산동읍 성수4길 54,36.1567905,128.4193347
경상북도 구미시 산동읍 성수리 156-3번지,36.1619441,128.4133525
경상북도 구미시 산동읍 신당리 194-1번지,36.1556213,128.4363035
경상북도 구미시 산동읍 신당리 231-7번지,36.1559375,128.4373289
경상북도 구미시 산동읍 신당리 274-1번지,36.162664,128.4343008
경상북도 구미시 산동읍 신당리 292-3번지,36.1635926,128.4337313
경상북도 구미시 산동읍 신당리 557번지,36.1503256,128.4305044
경상북도 구미시 산동읍 신당리 602번지,36.1490892,128.4299542
경상북도 구미시 산동읍 옥계2공단로 636-5 (성화수출포장공장) (,36.1611829,128.4168796
"경상북도 구미시 산동읍 옥계2공단로 642, 1층",36.1622097,128.4162837
경상북도 구미시 산동읍 옥계2공단로 651-5,36.1624267,128.4147944
경상북도 구미시 산동읍 인덕1길 131,36.167533,128.4645034
경상북도 구미시 산동읍 인덕1길 131 302호(경운대학교 창업보육센터),36.1733919,128.4641366
"경상북도 구미시 산동읍 인덕1길 131, (경운대학교창업보육센터)201,209호",36.1733919,128.4641366
"경상북도 구미시 산동읍 인덕1길 131, 101호(경운대학교 창업보육센터)",36.1733919,128.4641366
"경상북도 구미시 산동읍 인덕1길 131, 102호, 경운대학교 창업보육센터",36.1733919,128.4641366
