address,Latitude,Longitude
칠곡군 왜관읍 공단로8길 203,35.9571746,128.4119028
칠곡군 석적읍 3공단1로 5,36.0897078,128.4040857
칠곡군 약목면 경호천동길 2,36.0466816,128.3468892
칠곡군 가산면 호국로 1206-45,36.0536724,128.4887738
대구광역시 북구 침산동 550,35.8943645,128.5889036
대구광역시 북구 노원동3가 182-12,35.8952378,128.5721272
대구광역시 북구 침산동 1501,35.8919569,128.5789179
대구광역시 북구 노원동3가 207-4,35.8965447,128.5660452
대구광역시 북구 노원동3가 224,35.89587,128.5673098
대구광역시 북구 칠성동2가 98-16외3,35.8821602,128.590654
대구광역시 북구 노원동3가 1005,35.8925203,128.5687237
대구광역시 북구 노원동3가 683-2,35.8903192,128.5606941
"대구광역시 북구 국우동 737-1,4",35.9486721,128.5751137
대구광역시 북구 매천동 526,35.9021574,128.5399542
대구광역시 북구 침산동 1217,35.8956857,128.579849
대구광역시 북구 침산동 1026-1,35.899674,128.5815253
대구광역시 북구 노원동3가 1109-1,35.8949734,128.574087
대구광역시 북구 침산동 1137-2,35.896629,128.5816016
대구광역시 북구 침산동 1112-8,35.8961384,128.5831389
대구광역시 북구 노원동3가 520-1,35.8931583,128.5537081
대구광역시 북구 침산동 688,35.9019195,128.5903222
대구광역시 북구 침산동 997,35.903174,128.5801805
대구광역시 북구 침산동 1010-2,35.9003578,128.5810318
대구광역시 북구 동변동 273,35.9227186,128.6007686
대구광역시 북구 노원동3가 20-1,35.9019029,128.5763106
대구광역시 북구 노원동3가 709-4,35.8914222,128.5620787
대구광역시 북구 침산동 693,35.9011351,128.5900039
대구광역시 북구 침산동 1223,35.8950406,128.581662
대구광역시 북구 노원동2가 18-1,35.8933864,128.5759243
대구광역시 북구 노원동3가 58-3,35.9020309,128.5698663
대구광역시 북구 노원동3가 69,35.8989441,128.569832
대구광역시 북구 침산동 929-3,35.9021613,128.5817795
대구광역시 북구 산격동 1289-4,35.8982905,128.6139335
대구광역시 북구 노원동3가 616,35.8919084,128.5569736
대구광역시 북구 산격동 1370,35.8898417,128.6126953
대구광역시 북구 노원동3가 428-2,35.8936847,128.5595326
대구광역시 북구 노원동3가 512,35.8933533,128.5544195
대구광역시 북구 노원동3가 479-3,35.8949299,128.5569084
대구광역시 북구 검단동 887-4,35.9093203,128.6187661
대구광역시 북구 노원동3가 74-18,35.8984753,128.5709884
대구광역시 북구 읍내동 1341-5,35.9349066,128.5492967
대구광역시 북구 노원동3가 557,35.8915668,128.5554194
대구광역시 북구 노원동3가 229-4,35.8954883,128.5683495
대구광역시 북구 노원동3가 485-1,35.8936709,128.5551239
대구광역시 북구 노원동3가 714,35.8917157,128.5629282
대구광역시 북구 태전동 257-2,35.9235765,128.5440856
대구광역시 북구 노원동3가 473-7,35.8956877,128.5594781
대구광역시 북구 침산동 932-3,35.9014642,128.5809357
대구광역시 북구 노원동3가 1121,35.8952231,128.5757714
대구광역시 북구 노원동3가 36-3,35.8984907,128.5745821
대구광역시 북구 노원동3가 61-6,35.9004879,128.5675854
대구광역시 북구 동천동 956-1,35.9421193,128.5570242
대구광역시 북구 국우동 730-6,35.9489798,128.5761734
대구광역시 북구 침산동 1049,35.8992819,128.5811524
대구광역시 북구 노원동3가 232-1,35.8950783,128.5668046
대구광역시 북구 노원동3가 722-4,35.8908105,128.5635598
대구광역시 북구 검단동 747-5,35.9147628,128.6249577
대구광역시 북구 침산동 842,35.9010567,128.5848399
대구광역시 북구 태전동 390,35.9299006,128.5427769
대구광역시 북구 태전동 832-1,35.9113349,128.5488412
대구광역시 북구 노원동3가 6-2,35.9024871,128.575515
대구광역시 북구 노원동3가 1202-5,35.9012383,128.5782355
대구광역시 북구 노원동3가 1202-5,35.9012383,128.5782355
대구광역시 북구 산격동 662-3외4필,35.902386,128.5978654
대구광역시 북구 노원동3가 636,35.8903982,128.5580386
대구광역시 북구 노원동3가 261-3,35.8947565,128.5620214
대구광역시 북구 읍내동 551-1외5필,35.9718448,128.5383737
대구광역시 북구 태전동 833-1,35.9106655,128.5487768
대구광역시 북구 노원동1가 9-9,35.8888616,128.581948
대구광역시 북구 노원동3가 56-29,35.9024149,128.5727039
대구광역시 북구 구암동 805-4,35.9405178,128.57024
대구광역시 북구 침산동 1068,35.8989168,128.5817391
대구광역시 북구 노원동3가 1122-3,35.8950072,128.5756868
대구광역시 북구 산격동 10-12,35.9128796,128.607814
대구광역시 북구 산격동 1819,35.9055819,128.6182041
대구광역시 북구 노원동3가 22-5,35.9008032,128.5755781
대구광역시 북구 침산동 13-50,35.8865315,128.5975967
대구광역시 북구 읍내동 1332-5,35.9386192,128.5498522
대구광역시 북구 산격동 794-5외3필,35.8952095,128.5942889
대구광역시 북구 침산동 1050-2,35.8991831,128.5807141
대구광역시 북구 태전동 838,35.909877,128.5487403
대구광역시 북구 노원동3가 1157,35.8963639,128.5780815
대구광역시 북구 태전동 409-3번지,35.923792,128.5466468
대구광역시 북구 산격동 507-1,35.9021428,128.6068279
대구광역시 북구 산격동 755-1,35.9020315,128.5959451
대구광역시 북구 대현동 158-1,35.8829899,128.6084272
대구광역시 북구 복현동 375-11,35.9028213,128.6214917
대구광역시 북구 노원동3가 671,35.8918984,128.5602855
대구광역시 북구 노원동3가 671,35.8918984,128.5602855
대구광역시 북구 노원동3가 620-1,35.8923804,128.5572295
대구광역시 북구 산격동 338-12,35.9070393,128.6042108
대구광역시 북구 노원동3가 42,35.900052,128.5769685
"대구광역시 북구 노원동3가 47-4,5",35.9001342,128.5729678
대구광역시 북구 노원동3가 36-2,35.8983503,128.5743429
대구광역시 북구 산격동 561-2,35.902408,128.6008655
대구광역시 북구 산격동 1552,35.9101035,128.6076598
대구광역시 북구 노원동3가 1095,35.8975926,128.5780362
대구광역시 북구 노원동3가 470-2,35.8945584,128.558492
대구광역시 북구 노원동3가 227-9,35.8961675,128.5691995
대구광역시 북구 검단동 1393-167,35.9161353,128.6111618
대구광역시 북구 복현동 539-125,35.8987768,128.61561
대구광역시 북구 노원동1가 176,35.8903407,128.5776534
대구광역시 북구 태전동 산7,35.927505,128.543554
대구광역시 북구 노원동3가 885,35.8918711,128.5668593
대구광역시 북구 노원동3가 629,35.8917308,128.5577633
대구광역시 북구 노원동3가 71-11,35.8978588,128.5692869
대구광역시 북구 침산동 1103-2,35.8979558,128.5819669
대구광역시 북구 침산동 105-44,35.8846168,128.5976498
대구광역시 북구 침산동 845,35.9012477,128.5837469
대구광역시 북구 노원동3가 58-15,35.9009993,128.569798
"대구광역시 북구 노원동3가 1206-7, 2층",35.9000075,128.5776062
대구광역시 북구 노원동3가 1075-2,35.8975132,128.577114
대구광역시 북구 노원동3가 558,35.8910872,128.5558148
대구광역시 북구 노원동2가 9,35.8927553,128.5767028
대구광역시 북구 노원동3가 239-12,35.8954601,128.5624584
대구광역시 북구 노원동3가 1206-3,35.8995728,128.5774723
대구광역시 북구 침산동 137-6,35.8878359,128.5942759
대구광역시 북구 노원동3가 396,35.8925219,128.5622637
대구광역시 북구 검단동 887-59,35.9089206,128.6197257
대구광역시 북구 학정동 798-2,35.951014,128.5578648
대구광역시 북구 노원동3가 1114-1,35.8945326,128.5746554
대구광역시 북구 노원동3가 68,35.899013,128.5701404
대구광역시 북구 침산동 1117-1,35.8969672,128.5822942
대구광역시 북구 침산동 1000,35.9020459,128.579738
대구광역시 북구 노원동3가 1200-8,35.902355,128.577682
대구광역시 북구 태전동 159,35.9210715,128.545335
대구광역시 북구 읍내동 468-4,35.946432,128.5535308
