name,address,type,product
(유)지원중기정비,경상남도 함안군 칠원읍 용정리 48-2번지 외 1필지,건설 및 채광용 기계장비 제조업,"조선기자재, 금속절삭기계"
(주)가야포징,경상남도 함안군 칠북면 덕남길 69 외 1필지,금속 단조제품 제조업 외 2 종,볼베어링케이스
(주)가온,경상남도 함안군 칠원읍 원서로 213-13 외 4필지,그 외 자동차용 신품 부품 제조업,자동차부품
(주)건우테크,경상남도 함안군 대산면 평림리 697-2번지 외 1필지,"금속 문, 창, 셔터 및 관련제품 제조업","창호,문,샤시"
(주)경동레저산업,경상남도 함안군 칠원읍 운서리 1022-10번지 외 6필지,합성수지선 건조업,보트 본체
(주)고려화스너,경상남도 함안군 대산면 송산로 743 외 2필지,볼트 및 너트류 제조업 외 6 종,"전자부품용 볼트,플라스틱가전부품"
(주)고맥스,경상남도 함안군 칠북면 북원로 172 외 2필지,금속 절삭기계 제조업,공작기계
(주)광미산업 2공장,경상남도 함안군 칠원읍 석전1길 41 (총 4 필지) 외 3필지,금속 절삭기계 제조업,기계가공품
(주)광일미곡산업,경상남도 함안군 산인면 송산로 336 (광일미곡산업) (총 2 필지) 외 1필지,곡물 도정업,미곡
(주)국전중공업,경상남도 함안군 법수면 장백로 951 (법수면) 외 5필지,금속탱크 및 저장용기 제조업 외 2 종,"금속저장용기, 구조용금속제품"
(주)그린원일,경상남도 함안군 칠서면 삼칠로 547 ((주)그린원일) 외 1필지,"치약, 비누 및 기타 세제 제조업 외 2 종","치약,비누,화장품, 마스크"
(주)금강세라믹스,경상남도 함안군 칠원읍 용산리 산 37번지 외3필지,정형 내화 요업제품 제조업 외 1 종,세라믹
(주)금강테크,경상남도 함안군 칠원읍 유원리 1356-1번지 외 1필지 외 1필지,그 외 기타 금속가공업,금속가공품(와셔)
(주)금하네이벌텍,경상남도 함안군 군북면 월촌리 353번지 외 5필지 외 5필지,승강기 제조업 외 12 종,"조선기자재(철의장품, 유압설비)"
(주)남성하이테크,경상남도 함안군 군북면 유전2길 23 외 4필지,그 외 기타 금속가공업,금속가공품
(주)네오테크,"경상남도 함안군 칠서면 삼칠로 469, 외4필지","산업용 오븐, 노 및 노용 버너 제조업 외 1 종",태양열온수기
(주)넥스라이더,경상남도 함안군 대산면 평림리 720-1번지 외 3필지,기타 가공 공작기계 제조업,산업기계부품
(주)다올산업,경상남도 함안군 칠서면 함의로 311-5 외 2필지,그 외 기타 1차 철강 제조업 외 2 종,"1차 철강재, 풍력발전기용 베어링, 터널굴착기"
(주)다인테크온,경상남도 함안군 칠원읍 북원로 35-10 외 2필지,그 외 기타 전자부품 제조업,케이블하네스
(주)대경 함안지점,경상남도 함안군 군북면 방어산로 509 외 1필지,아스팔트 콘크리트 및 혼합제품 제조업,아스콘
(주)대경산업,경상남도 함안군 가야읍 서봉로 348 (주식회사대경산업) (총 6 필지) 외 5필지,육상 금속 골조 구조재 제조업 외 1 종,각종 철구조물
(주)대동테크,경상남도 함안군 칠서면 함의로 209-52 ((주)대동테크) 외 2필지,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품
(주)대륙,경상남도 함안군 군북면 사도리 188번지 외14필지,육상 금속 골조 구조재 제조업 외 1 종,"산업기계,발전설비,플렌트,철구조물"
(주)대림플랜트 함안지점,경상남도 함안군 군북면 효자골길 72 (주식회사지코) 외 3필지,광물처리 및 취급장비 제조업,"크레인, 산업기계"
(주)대서,경상남도 함안군 군북면 국우로 66 외 2필지,"라이터, 연소물 및 흡연용품 제조업 외 1 종","열 재활용 제품, 캔압축기"
(주)대암테크,경상남도 함안군 법수면 강주1길 142-1 외 1필지,그 외 기타 일반목적용 기계 제조업 외 1 종,기계부품
(주)대진기업,경상남도 함안군 군북면 모로리 126번지 외 7필지 외 7필지,기타 물품 취급장비 제조업 외 1 종,크레인 부품 및 선박부품
