회사명,신고기준년도,폐기물 종류,운반자,처리업소명,처리방법,공장대표주소,,업종명,생산품
(주)네이처셀 칠곡공장,2016,그 밖의 식물성잔재물,(주)라이프환경,(주)네비엔영천사업소,중간처분(일반소각),경상북도 칠곡군 기산면 기산공단1길 21,,,
(주)네이처셀 칠곡공장,2016,그 밖의 식물성잔재물,(주)라이프환경,(주)정한그린테크,재활용(농업생산활동에 사용),경상북도 칠곡군 기산면 기산공단1길 21,,,
(주)네이처셀 칠곡공장,2016,폐합성수지류(폐염화비닐수지류는 제외한다),(주)라이프환경,(주)네비엔영천사업소,중간처분(일반소각),경상북도 칠곡군 기산면 기산공단1길 21,,,
(주)제일자동차해체 재활용산업,2016,폐합성수지류(폐염화비닐수지류는 제외한다),(주)새한산업개발,(주)새한산업개발,재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 호국로 347,,,
(주)매트일번지,2016,폐합성수지류(폐염화비닐수지류는 제외한다),(주)대화티엔에스,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 왜관읍 2산업단지1길 173-23,,,
중경TCS,2016,폐합성수지류(폐염화비닐수지류는 제외한다),황소,(주)새한산업개발,재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 2산업단지2길 52,,,
(주)제이에스,2016,폐합성수지류,(주)시민환경,(주)네비엔영천사업소,중간처분(일반소각),경상북도 칠곡군 북삼읍 어로6길 43,,,
혜성자원,2016,폐합성수지류,범성환경,진영제지공업(주),중간처분(일반소각),경상북도 칠곡군 지천면 신동로 95-43,,,
혜성자원,2016,그 밖의 폐기물,(주)대화티엔에스,(주)와이에스텍,매립(민간관리형매립시설),경상북도 칠곡군 지천면 신동로 95-43,,,
장천종합폐차장,2016,금속성폐촉매,(주)대성리싸이클,(주)대성리싸이클,재활용(중간가공폐기물 제조),경상북도 칠곡군 가산면 송신로 567,,,
장천종합폐차장,2016,자동차 폐타이어,동흥상사(주),제이제이산업(주),재활용(직접 제품제조),경상북도 칠곡군 가산면 송신로 567,,,
장천종합폐차장,2016,폐합성수지류,문화산업,대성금속,재활용(중간가공폐기물 제조),경상북도 칠곡군 가산면 송신로 567,,,
장천종합폐차장,2016,폐합성수지류,문화산업,문화산업,재활용(중간가공폐기물 제조),경상북도 칠곡군 가산면 송신로 567,,,
장천종합폐차장,2016,자동차 폐타이어,(주)해룡,(주)해룡,재활용(원료 제조),경상북도 칠곡군 가산면 송신로 567,,,
장천종합폐차장,2016,자동차회수폐냉매물질,(주)오운알투텍,(주)오운알투텍,재활용(원료 제조),경상북도 칠곡군 가산면 송신로 567,,,
(주)대륙이피에스,2016,폐합성수지류,강산환경개발,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 지천면 금호로1길 37-2,,,
(주)대륙이피에스,2016,소각재,(주)모드멘,(주)케이엠그린구미지점,매립(민간관리형매립시설),경상북도 칠곡군 지천면 금호로1길 37-2,,,
(주)경동프로폰,2016,폐흡착제,(주)백석화학,(주)백석화학,재활용(기타),경상북도 칠곡군 왜관읍 공단로3길 22,,,
현대산업,2015,폐합성수지류,(주)이앤이,(주)이앤이,중간처분(일반소각),경상북도 칠곡군 가산면 학상1길 153-12,,,
(주)대진이앤씨칠곡공장,2015,폐합성수지류(폐염화비닐수지류는 제외한다),(주)남경운수,(주)한국환경산업개발,재활용(중간가공폐기물 제조),경상북도 칠곡군 가산면 호국로 1206-40,,,
(주)대진이앤씨칠곡공장,2015,그 밖의 폐목재류,지씨테크(주)경산공장,지씨테크(주)경산공장,재활용(중간가공폐기물 제조),경상북도 칠곡군 가산면 호국로 1206-40,,,
(주)알씨텍,2015,폐수처리오니,미주산업(주),(주)케이엠그린,매립(민간관리형매립시설),경상북도 칠곡군 약목면 경호천동길 74,,,
(주)알씨텍,2015,그 밖의 무기성오니,(주)대진물류,(유)이앤알컨설팅,재활용(성토재·복토재 등으로 사용),경상북도 칠곡군 약목면 경호천동길 74,,,
(주)알씨텍,2015,그 밖의 무기성오니,(주)대정이디씨,(유)이앤알컨설팅,재활용(성토재·복토재 등으로 사용),경상북도 칠곡군 약목면 경호천동길 74,,,
(주)알씨텍,2015,그 밖의 무기성오니,에이치앤씨,(유)이앤알컨설팅,재활용(성토재·복토재 등으로 사용),경상북도 칠곡군 약목면 경호천동길 74,,,
