name,address,type,product
(주)청해,경상남도 김해시 지내동 195-4,자동차 엔진용 부품 제조업,
(주)케이에스티플랜트,경상남도 김해시 진례면 송현리 1055-27,금속 열처리업,
(주)키엔스,경상남도 김해시 생림면 봉림리 221,도장 및 기타 피막처리업,
(주)태원테크,경상남도 김해시 상동면 우계리 1073-7,금속 조립구조재 제조업,
(주)파우어브레이스,경상남도 김해시 진영읍 의전리 75-1,선박 구성부분품 제조업,
(주)펌스틸월드,경상남도 김해시 한림면 가산리 52-5,그외 기타 금속가공업,
(주)한국항공기술,경상남도 김해시 지내동 323-1,"항공기,우주선 및 보조장치 제조업 외 1 종",
(주)한중유화,경상남도 김해시 한림면 병동리 1005,윤활유 및 그리스 제조업 외 1 종,
(주)해성,경상남도 김해시 진례면 담안리 1412-10,선박 구성부분품 제조업,
(주)휴롬,경상남도 김해시 주촌면 망덕리 872-12,주방용 전기기기 제조업,
(주)휴롬,경상남도 김해시 주촌면 농소리 627-1 (주)휴롬 1공장,주방용 전기기기 제조업,
IMPLANOVA,경상남도 김해시 주촌면 농소리 155-1,정형외과용 및 신체보정용 기기 제조업 외 2 종,
SA eng,경상남도 김해시 진례면 담안리 1245-10,그외 기타 자동차 부품 제조업,
가야산업,경상남도 김해시 진례면 고모리 277,선박 구성부분품 제조업,
금아(주),경상남도 김해시 한림면 장방리 1064-9,그외 기타 일반목적용 기계 제조업,
금오기계,경상남도 김해시 진례면 고모리 6-2,그외 기타 자동차 부품 제조업,
금원산업2공장,경상남도 김해시 주촌면 내삼리 1244-29,"플라스틱  적층, 도포 및 기타 표면처리 제품 제조업",
뉴마린엔지니어링(주),경상남도 김해시 진례면 초전리 352,일반철물 제조업 외 4 종,
대신열연,경상남도 김해시 주촌면 망덕리 872-6번지 D-6,기타 발전기 및 전기변환장치 제조업,
대영PLA,경상남도 김해시 주촌면 내삼리 1244-29,그외 기타 플라스틱 제품 제조업,
동광산업,경상남도 김해시 한림면 병동리 683,끈 및 로프 제조업,
두남화학,경상남도 김해시 어방동 1064-13,합성수지 및 기타 플라스틱물질 제조업,
