순번,단지명,회사명,대표업종번호,업종번호,업종명,공장대표주소,시군구,설립구분,생산품
9382,성서지방산업단지,청우테크,29294,29294,주형 및 금형 제조업,대구성서산업단지관리공단,달서구,일반산업단지,자동차금형
9383,북구검단지방산업단지,청운,68112,68112,비주거용 건물 임대업,(사)대구검단산업단지관리공단,북구,일반산업단지,
9384,서대구일반산업단지,청운기계,25924,25924,절삭가공 및 유사처리업,서대구산업단지관리공단,서구,일반산업단지,섬유기계부품
9385,성서지방산업단지,청운정밀,25924,25924,절삭가공 및 유사처리업,대구성서산업단지관리공단,달서구,일반산업단지,전용기+자동화기계부품
9386,성서지방산업단지,청운정밀,25924,25924,절삭가공 및 유사처리업,대구성서산업단지관리공단,달서구,일반산업단지,전용기 +자동화기계부품
9387,,청진섬유,13104,13104,연사 및 가공사 제조업,대구광역시 달성군,달성군,일반,연사
9388,,청초바이오,20312,20312,복합비료 및 기타 화학비료 제조업,대구광역시 달성군,달성군,일반,미량요소 복합비료+토질개량제
9389,성서지방산업단지,청풍1+2태양광 발전소,35114,35114,태양력 발전업,대구성서산업단지관리공단,달서구,일반산업단지,전기
9390,,청한스쿨웨어,14192,14192+14111+14112+14191+14199,근무복+작업복 및 유사의복 제조업 외 4 종,대구광역시 중구,중구,일반,교복제조+근무복
9391,북구검단지방산업단지,청호FA,27216,27216,산업처리공정 제어장비 제조업,(사)대구검단산업단지관리공단,북구,일반산업단지,자동검사기 및 측정기+자동조립기
9392,,체크제화,15211,15211,구두류 제조업,대구광역시 중구,중구,일반,여성구두
9393,,초록,22299,22299,그 외 기타 플라스틱 제품 제조업,대구광역시 서구,서구,일반,기능성휴지통
9394,,초록들코리아주식회사,10309,10309,기타 과실ㆍ채소 가공 및 저장 처리업,대구광역시 북구,북구,일반,채소가공
9395,대구제3일반산업단지,총형정밀,25933,25933,비동력식 수공구 제조업,대구제3산업단지관리공단,북구,일반산업단지,초경공구
9396,대구금호워터폴리스일반산업단지,총형정밀,25934,25934,톱 및 호환성 공구 제조업,(사)대구검단산업단지관리공단,북구,일반산업단지,초경공구
9397,서대구일반산업단지,최범준,68112,68112,비주거용 건물 임대업,서대구산업단지관리공단,서구,일반산업단지,부동산임대
9398,,최선하이텍,29269,29269,기타 섬유+의복 및 가죽 가공 기계 제조업,대구광역시 북구,북구,일반,방적기
9399,서대구일반산업단지,최정덕(부동산),68112,68112,비주거용 건물 임대업,서대구산업단지관리공단,서구,일반산업단지,부동산 임대업
9400,서대구일반산업단지,쵸이스,46419,46419,기타 생활용 섬유 및 직물제품 도매업,서대구산업단지관리공단,서구,일반산업단지,섬유원단
9401,성서지방산업단지,춘담,68112,68112,비주거용 건물 임대업,대구성서산업단지관리공단,달서구,일반산업단지,콤바인부품
9402,서대구일반산업단지,춘양목형산업,29294,29294,주형 및 금형 제조업,서대구산업단지관리공단,서구,일반산업단지,목+금형
9403,,춘한어패럴,14199,14199,그 외 기타 봉제의복 제조업,대구광역시 달성군,,일반,의류
9404,성서지방산업단지,칠성공업 ,30393,30393+31202+31322,자동차용 신품 의자 제조업 외 2 종,대구성서산업단지관리공단,달서구,일반산업단지,자동차의자
9405,,칠성산업,25933,25933,비동력식 수공구 제조업,대구광역시 서구,서구,일반,산업용 가위
9406,,칠성산업,21213,21213,식품위생용종이제품제조업,대구광역시 달성군,달성군,일반,1회용종이컵
9407,성서지방산업단지,카디브(주),27213,27213+29131,물질 검사+측정 및 분석기구 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,자동차정비기기+디젤연료분사 펌프
9408,성서지방산업단지,카라반캐노피,13224,13224,천막+텐트 및 유사 제품 제조업,대구성서산업단지관리공단,달서구,일반산업단지,캐노피 천막
9409,,카리스조명,28422,28422+28423+28429,일반용 전기 조명장치 제조업 외 2 종,대구광역시 중구,중구,일반,조명장치
9410,서대구일반산업단지,카즈,95211,95211,자동차 종합 수리업,서대구산업단지관리공단,서구,일반산업단지,자동차 수리 
9411,서대구일반산업단지,카즈모터스,45120,45120,중고 자동차 판매업,서대구산업단지관리공단,서구,일반산업단지,중고자동차판매
9412,,칸미디어,16232,16232,목재 포장용 상자+드럼 및 유사용기 제조업,대구광역시 동구,동구,일반,스피커박스
9413,대구제3일반산업단지,칸토디자인,29280,29280+31312+32091,산업용 로봇 제조업 외 2 종,대구제3산업단지관리공단,북구,일반산업단지,센서프로브+드론
9414,대구국가산업단지,칸토디자인,29280,29280+29161,산업용 로봇 제조업 외 1 종,한국산업단지공단 대구지역본부 달성사무소,달성군,국가산업단지,식품조리로봇+산업용트럭
9415,,칼라,33110,33110,귀금속 및 관련제품 제조업,대구광역시 중구,중구,일반,귀금속및장신구
9416,대구제3일반산업단지,칼택,19221,19221,윤활유 및 그리스 제조업,대구제3산업단지관리공단,북구,일반산업단지,금속가공유
9417,성서지방산업단지,캐스트웍스,30399,30399+30391+30392+30400,그 외 자동차용 신품 부품 제조업 외 3 종,대구성서산업단지관리공단,달서구,일반산업단지,피스톤+사판
9418,성서지방산업단지,캐스트웍스아이앤씨(주),30399,30399+30391+30392+30400,그 외 자동차용 신품 부품 제조업 외 3 종,대구성서산업단지관리공단,달서구,일반산업단지,실린더+헤드
9419,성서지방산업단지,캠텍코리아,29299,29299+29261,그 외 기타 특수목적용 기계 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,캠 유니트
