회사명,종업원수,생산품,용지면적(제곱미터),제조시설면적(제곱미터),부대시설면적(제곱미터),공장대표주소,도로명주소,업종명,년도,분기,위도,경도
(주)성미,122,선박용방화문,,4357.67,562.58,경상남도 김해시 주촌면 내삼리 1260,경상남도 김해시 주촌면 서부로1403번길 67-4,일반철물 제조업,2017,4,35.22759758,128.8131937
(주)성보,15,알루미늄합금,,482.24,162,경상남도 김해시 진례면 송현리 994-10,경상남도 김해시 진례면 고모로180번길 47-52,"알루미늄 제련, 정련 및 합금 제조업 외 1 종",2017,4,35.24146483,128.7752388
(주)성신화학,5,에프알피,,430,66,경상남도 김해시 한림면 안하리 244,경상남도 김해시 한림면 안하로116번길 15,운송장비 조립용 플라스틱제품 제조업 외 1 종,2017,4,35.31020015,128.8263876
(주)성우산업,15,조선기자재,,1278.3,64.8,경상남도 김해시 한림면 장방리 287-15,경상남도 김해시 한림면 한림로343번길 33-32 (총 2 필지),선박 구성 부분품 제조업,2017,4,35.31641596,128.7979118
(주)성우코팅,15,산업기계,,490,68.4,,"경상남도 김해시 한림면 안곡로 271-32,  외1",도장 및 기타 피막처리업,2017,4,35.28596815,128.8495995
(주)성원공업,12,모터부품,,696.83,245.58,경상남도 김해시 어방동 1065-4,경상남도 김해시 김해대로2553번길 30,전동기 및 발전기 제조업 외 16 종,2017,4,35.23138626,128.9060253
(주)성업기계,25,자동차브레이크부품,,161.5,0,경상남도 김해시 주촌면 내삼리 962,경상남도 김해시 주촌면 서부로1499번길 68-54,그 외 자동차용 신품 부품 제조업 외 3 종,2017,4,35.23363941,128.8144641
(주)성우사,25,에어컨부품,,802,158.4,경상남도 김해시 진례면 고모리 652-1,경상남도 김해시 진례면 고모로526번길 51-52,금속선 가공제품 제조업,2017,4,35.27024417,128.7819179
(주)성우전기,17,브레이크 실린드,,350,80,경상남도 김해시 진례면 청천리 592-3,경상남도 김해시 진례면 서부로436번길 67-7,자동차 엔진용 신품 부품 제조업 외 1 종,2017,4,35.26705476,128.746097
(주)성우기업,10,가정용전기기기,,2102.45,474.12,경상남도 김해시 한림면 명동리 1156-18,경상남도 김해시 한림면 김해대로 1124-5,기타 가정용 전기기기 제조업,2017,4,35.29529465,128.8056287
(주)성우일렉트로닉스,1,회로카드외,,218.7,145.8,경상남도 김해시 지내동 314-12,경상남도 김해시 분성로727번길 8-23 (지내동),그 외 기타 전자부품 제조업 외 18 종,2017,4,35.23047834,128.9224814
(주)성운전자,100,"진공청소기부품,전자부품",,2136.2,4080.8,경상남도 김해시 진례면 청천리 373-1,경상남도 김해시 진례면 서부로396번길 15,기타 가정용 전기기기 제조업,2017,4,35.26697996,128.7512739
(주)성우기업,22,금속스프링,,478.4,135,경상남도 김해시 한림면 퇴래리 940,경상남도 김해시 한림면 김해대로927번길 312,금속 스프링 제조업,2017,4,35.30476252,128.799062
